"Colonia","Población total","Porcentaje de población masculina","Porcentaje de población femenina","Porcentaje de población de 0 a 14 años","Porcentaje de población de 15 a 64 años","Porcentaje de población de 65 y más años","Porcentaje de población no especificada","Fecundidad promedio","Porcentaje de población con discapacidad","Población Económicamente Activa","Población Económicamente Activa masculina","Población Económicamente Activa femenina","Población Ocupada","Población Ocupada masculina","Población Ocupada femenina","Población Desocupada","Derechohabiencia","Hogares","Ocupación por Vivienda","Viviendas con Electricidad","Viviendas con Agua","Viviendas con Drenaje","Viviendas con Televisión","Viviendas con Automóvil","Viviendas con Computadora","Total Actividades Económicas","Primer actividad nombre","Primer actividad porcentaje","Segunda actividad nombre","Segunda actividad porcentaje","Tercera actividad nombre","Tercera actividad porcentaje","Cuarta actividad nombre","Cuarta actividad porcentaje","Quinta actividad nombre","Quinta actividad porcentaje"
"La Paz",1550,50.42,49.58,40.41,58.54,1.04,0.01,2.14,1.55,58.64,74.06,25.94,94.97,73.47,26.53,5.03,72.63,398,3.89,100,99.82,100,98.31,43.4,33.09,20,"Comercio Menudeo",65,"Preparación de Alimentos y Bebidas",20,"Educativos",5,"Otros servicios, excepto Gobierno",5,"Industria Manufacturera",5
"La Perla",2587,50.17,49.83,39.47,58.56,1.74,0.23,1.91,2.24,57.92,70.98,29.02,94.67,69.76,30.24,5.33,72.44,679,3.81,99.85,99.85,99.85,99.12,45.51,27.69,87,"Comercio Menudeo",41.38,"Preparación de Alimentos y Bebidas",28.74,"Otros servicios, excepto Gobierno",16.09,"Educativos",5.75,"Industria Manufacturera",3.45
"La Vinícola",0,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,
"Laguna Norte",2972,51.53,48.47,35.9,59.32,4.44,0.34,2.45,3.4,54.03,73.15,26.85,90.13,72.18,27.82,9.87,50.03,708,4.2,99.15,96.52,81.36,94.56,38.83,12.08,176,"Comercio Menudeo",38.07,"Otros servicios, excepto Gobierno",26.7,"Preparación de Alimentos y Bebidas",9.66,"Inmobiliarios",7.39,"Industria Manufacturera",5.68
"Laguna Sur",2361,50.3,49.7,34.21,61.58,3.56,0.65,2.29,3.21,50.75,73.14,26.86,91.94,72.76,27.24,8.06,61.32,577,4.09,99.44,98.71,97.8,96.97,40.21,17.56,93,"Comercio Menudeo",36.56,"Otros servicios, excepto Gobierno",26.88,"Industria Manufacturera",15.05,"Comercio Mayoreo",7.53,"Preparación de Alimentos y Bebidas",5.38
"Las Arboledas",2959,48.12,51.88,32.41,64.21,2.77,0.61,1.73,2.31,55.96,58.08,41.92,96.72,57.2,42.8,3.28,78.95,793,3.73,100,99.87,100,98.99,74,57.38,47,"Comercio Menudeo",40.43,"Educativos",8.51,"Manejo de Residuos",8.51,"Otros servicios, excepto Gobierno",8.51,"Preparación de Alimentos y Bebidas",8.51
"Las Aves",246,46.75,53.25,39.13,59.14,0.48,1.25,2.1,0.6,64.95,62.97,37.03,94.74,61.04,38.96,5.26,75.26,65,3.78,99.99,99.98,99.98,99.98,41.84,36.39,4,"Comercio Menudeo",75,"Preparación de Alimentos y Bebidas",25,,,,,,
"Las Brisas",3607,50.63,49.37,33.27,64.48,2.26,-0.01,2.07,9.81,49.44,74.94,25.06,90.83,73.96,26.04,9.17,70.21,901,4,99.89,98.55,99,97.66,43.49,25.18,41,"Comercio Menudeo",43.9,"Preparación de Alimentos y Bebidas",14.63,"Industria Manufacturera",14.63,"Educativos",9.76,"Otros servicios, excepto Gobierno",7.32
"Las Estrellas - El Pensador",384,52.34,47.66,36.2,59.64,4.17,-0.01,3.01,6.25,44.4,71.54,28.46,92.15,69.3,30.7,7.85,53.65,90,4.27,97.78,96.67,93.33,91.11,34.44,0,10,"Comercio Menudeo",50,"Otros servicios, excepto Gobierno",20,"Industria Manufacturera",20,"Preparación de Alimentos y Bebidas",10,,
"Las Flores Cooperativa Habitacional",159,45.28,54.72,23.9,69.81,6.29,0,1.88,5.95,55.47,61.97,38.03,98.57,62.86,37.14,1.43,71.7,41,3.88,100,100,100,100,87.8,70.73,1,"Comercio Menudeo",100,,,,,,,,
"Las Julietas",2816,50.49,49.51,32.81,62.17,4.69,0.33,2.6,2.66,54.54,70.3,29.7,89.96,68.63,31.37,10.04,60.96,652,4.32,100,99.51,98.58,97.19,41.7,15.98,106,"Comercio Menudeo",44.34,"Otros servicios, excepto Gobierno",22.64,"Preparación de Alimentos y Bebidas",13.21,"Industria Manufacturera",6.6,"Educativos",5.66
"Las Luisas",1738,50.12,49.88,33.03,62.55,4.41,0.01,2.5,12.46,50.97,69.45,30.55,92.18,67.7,32.3,7.82,65.36,433,4.01,99.54,99.54,99.08,97.92,41.42,21.43,53,"Comercio Menudeo",39.62,"Otros servicios, excepto Gobierno",24.53,"Preparación de Alimentos y Bebidas",20.75,"Industria Manufacturera",7.55,"Financieros y Seguros",1.89
"Las Margaritas",1494,47.32,52.68,14.67,60.58,14.34,10.41,1.94,4.51,54.46,56.3,43.7,92.99,56.48,43.52,7.01,68.94,398,3.75,100,100,99.5,98.74,88.6,76.69,81,"Comercio Menudeo",25.93,"Otros servicios, excepto Gobierno",18.52,"Educativos",9.88,"Salud",7.41,"Preparación de Alimentos y Bebidas",7.41
"Las Quintas",535,46.73,53.27,27.66,66.73,1.68,3.93,1.49,0.99,52.87,57.5,42.5,98.56,56.89,43.11,1.44,85.79,124,4.31,100,99.19,97.58,98.39,97.58,95.16,0,,,,,,,,,,
"Latinoamericano",5980,50.82,49.18,27.59,69.25,2.74,0.42,1.98,7.79,50.28,64.62,35.38,91.47,63.07,36.93,8.53,71.39,1534,3.9,99.85,99.53,99.22,98.98,58.09,40,130,"Comercio Menudeo",43.85,"Otros servicios, excepto Gobierno",19.23,"Preparación de Alimentos y Bebidas",15.38,"Educativos",5.38,"Industria Manufacturera",4.62
"Latinoamericano II",458,48.46,51.54,30.94,65.53,2.87,0.66,1.87,3.63,54.55,62.22,37.78,92.91,61.89,38.11,7.09,77.42,114,4.02,100,100,100,99.64,66.63,55.92,10,"Otros servicios, excepto Gobierno",50,"Comercio Menudeo",30,"Salud",10,"Preparación de Alimentos y Bebidas",10,,
"Lázaro Cárdenas",5473,49.54,50.46,33,62.32,4.63,0.05,2.53,9.89,52.71,71.22,28.78,90.49,70.4,29.6,9.51,64.77,1381,3.96,100,97.09,96.79,97.08,40.24,17.62,166,"Comercio Menudeo",43.98,"Otros servicios, excepto Gobierno",19.28,"Preparación de Alimentos y Bebidas",11.45,"Industria Manufacturera",9.04,"Comercio Mayoreo",4.22
"Leandro Rovirosa Wade",420,48.06,51.94,24.23,68.55,5.76,1.46,1.77,5.91,54.24,64.08,35.92,97.06,63.04,36.96,2.94,79.67,113,3.72,100,99.8,99.8,99.81,88.91,77.21,24,"Inmobiliarios",16.67,"Otros servicios, excepto Gobierno",16.67,"Comercio Mayoreo",16.67,"Comercio Menudeo",12.5,"Construcción",12.5
"Loma Real",2079,49.45,50.55,36.59,60.08,1.59,1.74,1.9,1.48,60.65,66.02,33.98,87.29,66.33,33.67,12.71,71.79,549,3.79,99.92,99.92,100,99.2,44.35,31.41,79,"Comercio Menudeo",48.1,"Preparación de Alimentos y Bebidas",20.25,"Otros servicios, excepto Gobierno",13.92,"Industria Manufacturera",5.06,"Profesionales, Científicos, Técnicos",3.8
"Loma Real II",1981,48.38,51.62,34.35,63.22,2.13,0.3,1.87,1.33,61.38,66.75,33.25,88.67,65.58,34.42,11.33,73.89,557,3.56,99.72,99.72,99.72,97.74,38.7,21.55,51,"Comercio Menudeo",62.75,"Preparación de Alimentos y Bebidas",15.69,"Otros servicios, excepto Gobierno",13.73,"Industria Manufacturera",3.92,"Manejo de Residuos",1.96
"Los Agaves",10,50,50,28.26,68.42,2.2,1.12,1.81,1.86,54.96,62.2,37.8,94.54,60.82,39.18,5.46,76.75,3,3.33,99.88,99.56,99.47,99.56,59.81,46.9,2,"Comercio Menudeo",100,,,,,,,,
"Los Alebrijes Residencial",221,48.42,51.58,24.43,65.61,1.81,8.15,1.47,0,64.78,53.4,46.6,94.91,53.06,46.94,5.09,83.71,66,3.35,100,100,100,100,96.97,86.36,0,,,,,,,,,,
"Los Ángeles",556,47.54,52.46,16.93,56.15,20.81,6.11,2.13,5.15,50.32,60.73,39.27,99.97,60.71,39.29,0.03,83.16,155,3.59,99.45,99.45,99.45,96.67,93.2,86.7,70,"Comercio Menudeo",15.71,"Otros servicios, excepto Gobierno",14.29,"Preparación de Alimentos y Bebidas",12.86,"Profesionales, Científicos, Técnicos",12.86,"Salud",11.43
"Los Laureles",1919,48.51,51.49,36.69,55.45,0.63,7.23,1.96,1.41,57.45,68.15,31.85,94.87,67.45,32.55,5.13,69.98,484,3.96,98.97,98.97,98.76,98.14,37.19,19.83,31,"Comercio Menudeo",51.61,"Otros servicios, excepto Gobierno",19.35,"Preparación de Alimentos y Bebidas",16.13,"Educativos",6.45,"Manejo de Residuos",3.23
"Los Monasterios 1° Etapa",389,46.91,53.09,38.7,60.19,1.08,0.03,2.11,1.59,60.41,65.7,34.3,97.23,64.77,35.23,2.77,74.78,104,3.74,100,99.4,100,99.4,40.79,20.99,18,"Comercio Menudeo",38.89,"Otros servicios, excepto Gobierno",22.22,"Preparación de Alimentos y Bebidas",22.22,"Industria Manufacturera",11.11,"Comercio Mayoreo",5.56
"Los Nogales",697,47.2,52.8,14.35,58.97,15.06,11.62,2.12,4.68,48.97,59.06,40.94,93.52,58.83,41.17,6.48,73.03,192,3.63,100,99.92,99.92,99.91,87.24,69.85,5,"Comercio Menudeo",60,"Salud",20,"Profesionales, Científicos, Técnicos",20,,,,
"Los Periodistas",380,50.26,49.74,40.79,58.68,0.53,0,1.91,5.24,50.59,75,25,88.82,73.91,26.09,11.18,84.21,96,3.96,100,98.96,100,98.96,50.51,30.36,11,"Comercio Menudeo",45.45,"Otros servicios, excepto Gobierno",27.27,"Manejo de Residuos",9.09,"Preparación de Alimentos y Bebidas",9.09,"Comercio Mayoreo",9.09
"Los Portales",49,48.98,51.02,22.45,73.47,4.08,0,1.45,0,65,53.85,46.15,100,53.85,46.15,0,100,16,3.06,100,100,100,93.75,100,100,2,"Comercio Menudeo",50,"Comercio Mayoreo",50,,,,,,
"Los Sauces",1176,49.57,50.43,40.22,57.57,1.19,1.02,1.99,5.43,59.95,63.36,36.64,91.64,62.38,37.62,8.36,78.74,296,3.97,99.66,99.32,98.99,98.99,49.32,22.12,18,"Comercio Menudeo",55.56,"Otros servicios, excepto Gobierno",16.67,"Preparación de Alimentos y Bebidas",16.67,"Educativos",5.56,"Comercio Mayoreo",5.56
"Los Viñedos",1082,49.61,50.39,26.08,55.5,8.34,10.08,1.57,2.11,55.54,61.1,38.9,98.3,61,39,1.7,73.56,237,4.57,100,99.84,100,99.84,99.03,92.12,52,"Comercio Menudeo",21.15,"Otros servicios, excepto Gobierno",19.23,"Preparación de Alimentos y Bebidas",19.23,"Educativos",11.54,"Salud",7.69
"Lucio Blanco",1727,46.38,53.62,19.69,65.49,14.82,0,2.7,8.52,47.15,56.61,43.39,95.97,56.2,43.8,4.03,70.41,489,3.53,99.8,100,99.8,98.16,44.83,36.27,77,"Comercio Menudeo",24.68,"Otros servicios, excepto Gobierno",23.38,"Preparación de Alimentos y Bebidas",18.18,"Industria Manufacturera",16.88,"Educativos",5.19
"Lucio Cabañas",386,52.33,47.67,32.38,64.51,2.33,0.78,2.43,5.6,57.54,76.83,23.17,66.62,74.17,25.83,33.38,53.63,77,5.01,100,100,100,96.1,21.75,15.26,4,"Comercio Menudeo",75,"Otros servicios, excepto Gobierno",25,,,,,,
"Luis Donaldo Colosio",1761,50.38,49.62,39,58.38,2.43,0.19,2.54,3.91,51.88,79.39,20.61,84.95,79.29,20.71,15.05,62.7,481,3.66,97.82,77.65,81.6,94.28,33.99,20.06,49,"Comercio Menudeo",53.06,"Otros servicios, excepto Gobierno",16.33,"Preparación de Alimentos y Bebidas",8.16,"Salud",6.12,"Educativos",4.08
"Luis Echeverría Norte",2867,48.13,51.87,25.04,66.24,8.62,0.1,2.38,5.73,51.59,65.2,34.8,88.82,63.81,36.19,11.18,72.45,731,3.92,99.18,98.63,98.63,98.63,44.05,30.92,92,"Comercio Menudeo",33.7,"Gubernamentales",13.04,"Otros servicios, excepto Gobierno",13.04,"Preparación de Alimentos y Bebidas",11.96,"Salud",7.61
"Luis Echeverría Oriente",1027,47.32,52.68,21.13,68.84,9.74,0.29,2.29,5.22,52.77,61.16,38.84,88.15,61,39,11.85,75.07,273,3.76,99.27,99.27,99.27,97.07,53.11,41.03,54,"Comercio Menudeo",31.48,"Preparación de Alimentos y Bebidas",14.81,"Educativos",12.96,"Otros servicios, excepto Gobierno",11.11,"Industria Manufacturera",11.11
"Luis Horacio Salinas",0,,,,,,,,,,,,,,,,,0,,,,,,,,44,"Comercio Mayoreo",34.09,"Industria Manufacturera",18.18,"Comercio Menudeo",15.91,"Preparación de Alimentos y Bebidas",9.09,"Financieros y Seguros",4.55
"Maclovio Herrera",665,50.83,49.17,29.01,63.08,7.9,0.01,2.61,11.87,53.32,64.84,35.16,93.39,63.27,36.73,6.61,56.71,168,3.96,98.21,91.07,98.21,93.97,21.29,15.79,17,"Comercio Menudeo",52.94,"Preparación de Alimentos y Bebidas",23.53,"Gubernamentales",5.88,"Educativos",5.88,"Otros servicios, excepto Gobierno",5.88
"Magdalenas",4329,48.79,51.21,26.15,62.98,9.05,1.82,2.6,3.22,50.94,67.55,32.45,94.33,66.7,33.3,5.67,64.05,1054,4.11,99.86,99.57,99.48,98.43,46,28.83,268,"Otros servicios, excepto Gobierno",29.1,"Comercio Menudeo",26.49,"Industria Manufacturera",19.4,"Comercio Mayoreo",6.72,"Preparación de Alimentos y Bebidas",4.85
"Magisterio - Iberoamericana",33,52.63,47.37,36.63,57.32,1.3,4.75,1.56,1.15,62.02,63.39,36.61,97.11,62.96,37.04,2.89,73.18,8,4.12,100,100,100,100,94.26,86.83,6,"Comercio Menudeo",33.33,"Industria Manufacturera",33.33,"Preparación de Alimentos y Bebidas",16.67,"Comercio Mayoreo",16.67,,
"María Mercado de López Sánchez",2527,50.8,49.2,36.88,52.26,2.37,8.49,2.49,2.92,53.17,78.35,21.65,91.77,77.9,22.1,8.23,46.25,653,3.87,82.57,33.12,59.62,74.88,28.23,4.42,145,"Comercio Menudeo",40,"Inmobiliarios",18.62,"Otros servicios, excepto Gobierno",13.79,"Preparación de Alimentos y Bebidas",7.59,"Industria Manufacturera",7.59
"Martínez Adame",638,47.64,52.36,21.62,64.19,14.19,0,2.21,11.53,55.23,57.99,42.01,88.42,57.6,42.4,11.58,59.15,186,3.43,99.53,92.52,99.53,96.3,32.29,25.56,39,"Comercio Menudeo",33.33,"Preparación de Alimentos y Bebidas",28.21,"Educativos",10.26,"Otros servicios, excepto Gobierno",10.26,"Salud",5.13
"Mayrán",1234,50.41,49.59,33.45,63.62,2.94,-0.01,2.21,5.21,57.04,70.58,29.42,92.38,69.55,30.45,7.62,67.14,314,3.93,97.43,89.11,92.63,94.87,43.58,17.01,26,"Comercio Menudeo",50,"Otros servicios, excepto Gobierno",11.54,"Educativos",7.69,"Preparación de Alimentos y Bebidas",7.69,"Industria Manufacturera",7.69
"Metalúrgica",0,,,,,,,,,,,,,,,,,0,,,,,,,,2,"Industria Manufacturera",100,,,,,,,,
"Miguel Alemán",727,46.22,53.78,27.65,62.17,9.77,0.41,2.56,7.02,51.87,62.33,37.67,90.71,61.42,38.58,9.29,71.8,199,3.65,100,99.5,100,98.99,53.27,35.17,52,"Otros servicios, excepto Gobierno",32.69,"Comercio Menudeo",19.23,"Industria Manufacturera",15.38,"Preparación de Alimentos y Bebidas",9.62,"Salud",5.77
"Miguel De La Madrid",1318,50.91,49.09,27.92,67.22,4.63,0.23,2.47,6.03,51.02,74.76,25.24,92.86,74.59,25.41,7.14,67.68,301,4.38,99.67,99.67,99.34,98.67,41.89,23.03,69,"Comercio Menudeo",34.78,"Otros servicios, excepto Gobierno",24.64,"Industria Manufacturera",15.94,"Preparación de Alimentos y Bebidas",10.14,"Comercio Mayoreo",5.8
"Miguel Hidalgo",1000,48.5,51.5,25.3,62.4,12,0.3,2.81,10.96,52.22,67.23,32.77,92.74,65.62,34.38,7.26,55.5,239,4.18,97.91,96.65,98.74,94.98,19.25,13.74,12,"Comercio Menudeo",41.67,"Otros servicios, excepto Gobierno",25,"Salud",16.67,"Preparación de Alimentos y Bebidas",8.33,"Industria Manufacturera",8.33
"Moctezuma",3619,48,52,24.1,64.94,9.98,0.98,2.44,11.17,51.71,63.52,36.48,90.63,62.71,37.29,9.37,67.12,951,3.81,99.89,99.79,99.58,98.95,47.32,28.25,157,"Comercio Menudeo",34.39,"Otros servicios, excepto Gobierno",19.75,"Industria Manufacturera",15.29,"Preparación de Alimentos y Bebidas",10.83,"Comercio Mayoreo",6.37
"Moderna",2110,47.8,52.2,20.41,64.27,12.9,2.42,2.18,9.95,53.31,62.47,37.53,91.7,60.99,39.01,8.3,63.58,600,3.52,99.21,99.21,98.88,98.03,46.97,38.32,209,"Comercio Menudeo",29.19,"Otros servicios, excepto Gobierno",22.97,"Preparación de Alimentos y Bebidas",11,"Industria Manufacturera",10.53,"Profesionales, Científicos, Técnicos",4.78
"Monte Real",7297,48.98,51.02,37.77,60.07,1.43,0.73,1.77,1.73,61.46,63.61,36.39,94.43,63.28,36.72,5.57,79.47,1973,3.7,99.8,99.54,99.65,99.54,59.76,33.85,188,"Comercio Menudeo",39.36,"Preparación de Alimentos y Bebidas",21.28,"Otros servicios, excepto Gobierno",20.21,"Educativos",5.32,"Industria Manufacturera",3.72
"Morelos",1315,47.9,52.1,22.08,68.21,9.71,0,2.32,5.07,49.48,68.79,31.21,94.27,67.4,32.6,5.73,70.08,353,3.73,99.74,99.16,99.45,97.17,31.76,21.88,39,"Comercio Menudeo",35.9,"Otros servicios, excepto Gobierno",20.51,"Preparación de Alimentos y Bebidas",20.51,"Industria Manufacturera",12.82,"Educativos",5.13
"Narciso Mendoza",1795,48.25,51.75,29.03,62.56,7.08,1.33,2.7,1.34,53.93,63.96,36.04,91.87,62.2,37.8,8.13,62.01,424,4.23,100,99.76,100,96.46,40.67,28.29,33,"Comercio Menudeo",54.55,"Otros servicios, excepto Gobierno",15.15,"Industria Manufacturera",15.15,"Preparación de Alimentos y Bebidas",9.09,"Transportes, Correo, Almacenamiento",3.03
"Navarro",1613,43.67,56.33,12.28,68.3,15.82,3.6,1.92,3.31,50.85,57.06,42.94,93.03,57.18,42.82,6.97,73.82,458,3.52,100,99.84,99.84,99.62,87.6,76.43,251,"Comercio Menudeo",43.03,"Preparación de Alimentos y Bebidas",17.13,"Otros servicios, excepto Gobierno",7.17,"Profesionales, Científicos, Técnicos",6.77,"Industria Manufacturera",4.38
"Nazario Ortiz Garza",411,47.2,52.8,21.9,65.69,10.95,1.46,1.82,4.37,55.52,62.43,37.57,95.39,61.27,38.73,4.61,63.02,111,3.7,100,100,99.1,98.2,47.75,28.83,17,"Comercio Menudeo",23.53,"Otros servicios, excepto Gobierno",23.53,"Preparación de Alimentos y Bebidas",17.65,"Salud",11.76,"Educativos",11.76
"Nueva Aurora",3251,50.23,49.77,22.6,66.29,11.11,0,2.63,7.49,54.06,66.85,33.15,84.02,65.09,34.91,15.98,61.45,889,3.66,99.58,99.35,99.01,97.21,30.95,22.96,125,"Comercio Menudeo",39.2,"Otros servicios, excepto Gobierno",26.4,"Industria Manufacturera",9.6,"Preparación de Alimentos y Bebidas",8,"Salud",4
"Nueva California",817,45.09,54.91,29.89,63.45,6.64,0.02,2.4,5.51,51.59,66.74,33.26,84.46,63.94,36.06,15.54,67.49,186,4.39,99.6,99.06,98.52,99.06,44.01,35.81,65,"Comercio Menudeo",35.38,"Otros servicios, excepto Gobierno",26.15,"Preparación de Alimentos y Bebidas",9.23,"Industria Manufacturera",7.69,"Educativos",4.62
"Nueva Corona",240,45.83,54.17,33.33,62.5,4.17,0,2.32,5.83,48.88,71.26,28.74,79.89,72.22,27.78,20.11,73.75,53,4.53,100,100,100,100,42.28,9.43,5,"Comercio Menudeo",80,"Industria Manufacturera",20,,,,,,
"Nueva Creación",0,,,,,,,,,,,,,,,,,0,,,,,,,,1,"Educativos",100,,,,,,,,
"Nueva Los Ángeles",2337,47.36,52.64,13.61,58.09,17.21,11.09,2.05,6.98,50.66,58.98,41.02,94.5,59.24,40.76,5.5,64.71,640,3.65,99.36,99.04,99.36,96.9,86.78,72.45,146,"Comercio Menudeo",21.92,"Preparación de Alimentos y Bebidas",19.18,"Otros servicios, excepto Gobierno",17.81,"Profesionales, Científicos, Técnicos",6.16,"Salud",5.48
"Nueva Merced",1479,49.63,50.37,33.91,62.47,3.41,0.21,2.43,3.82,49.71,78.43,21.57,91.94,77.5,22.5,8.06,49.42,352,4.2,99.52,98.09,98.66,98.38,36.49,15.87,42,"Comercio Menudeo",52.38,"Preparación de Alimentos y Bebidas",14.29,"Educativos",11.9,"Comercio Mayoreo",9.52,"Industria Manufacturera",7.14
"Nueva Rosita",2273,50.64,49.36,26.18,65.46,8.23,0.13,2.39,14.21,53.36,66.32,33.68,90.09,64.55,35.45,9.91,62.03,591,3.85,98.65,98.82,99.15,96.95,32.02,21.05,82,"Comercio Menudeo",42.68,"Preparación de Alimentos y Bebidas",26.83,"Otros servicios, excepto Gobierno",14.63,"Industria Manufacturera",6.1,"Salud",3.66
"Nuevo México",329,51.41,48.59,26.93,62.91,10.16,0,2.64,5.13,46.97,79.94,20.06,81.39,77.99,22.01,18.61,67.79,86,3.83,98.64,100,99.82,98.45,9.78,10.96,1,"Comercio Menudeo",100,,,,,,,,
"Nuevo San Isidro",938,48.19,51.81,13.18,75.26,8.97,2.59,1.69,4.07,55.06,55.23,44.77,93.08,54.37,45.63,6.92,74.2,283,3.31,100,99.28,99.64,98.93,93.59,78.97,40,"Comercio Menudeo",32.5,"Otros servicios, excepto Gobierno",12.5,"Financieros y Seguros",10,"Preparación de Alimentos y Bebidas",10,"Comercio Mayoreo",10
"Nuevo Torreón",2469,47.63,52.37,19.98,64.45,10.99,4.58,2.16,3.29,50.77,60.23,39.77,92.72,60.28,39.72,7.28,68.49,653,3.78,99.85,100,99.38,98.77,72.15,54.91,140,"Comercio Menudeo",28.57,"Otros servicios, excepto Gobierno",20,"Industria Manufacturera",14.29,"Preparación de Alimentos y Bebidas",8.57,"Comercio Mayoreo",6.43
"Nuevo Zaragoza II",23,43.48,56.52,39.13,60.87,0,0,1.13,1.86,73.33,63.64,36.36,78.64,55.56,44.44,21.36,86.96,7,3.29,100,100,100,100,57.14,42.86,1,"Comercio Menudeo",100,,,,,,,,
"Oscar Flores Tapia",360,49.17,50.83,25.05,67.39,7.2,0.36,2.63,13.67,53.26,60.65,39.35,89.4,60,40,10.6,70,93,3.87,100,98.92,97.85,100,52.06,39.51,27,"Otros servicios, excepto Gobierno",48.15,"Comercio Menudeo",25.93,"Preparación de Alimentos y Bebidas",11.11,"Industria Manufacturera",11.11,"Inmobiliarios",3.7
"Palmas La Rosita",141,53.19,46.81,20.57,67.38,5.67,6.38,1.98,1.31,44.14,77.55,22.45,100,77.55,22.45,0,89.36,36,3.92,100,100,100,100,100,100,5,"Comercio Menudeo",40,"Preparación de Alimentos y Bebidas",40,"Profesionales, Científicos, Técnicos",20,,,,
"Palmas San Isidro",381,45.54,54.46,12.33,75.1,11.59,0.98,1.68,12.42,53.07,55.31,44.69,97.06,55.15,44.85,2.94,80.2,114,3.34,100,100,100,100,87.56,80.96,32,"Otros servicios, excepto Gobierno",28.12,"Comercio Menudeo",21.88,"Manejo de Residuos",9.38,"Preparación de Alimentos y Bebidas",9.38,"Salud",6.25
"Panteón Jardines del Carmen",0,,,,,,,,,,,,,,,,,0,,,,,,,,1,"Manejo de Residuos",100,,,,,,,,
"Panteón Torreón",0,,,,,,,,,,,,,,,,,0,,,,,,,,1,"Otros servicios, excepto Gobierno",100,,,,,,,,
"Paraíso del Nazas",515,48.89,51.11,30.21,58.43,5.51,5.85,1.97,2.79,48.48,67.93,32.07,88.53,66.34,33.66,11.47,60.29,123,4.19,100,98.86,94.72,100,73.27,44.23,24,"Otros servicios, excepto Gobierno",41.67,"Comercio Menudeo",25,"Industria Manufacturera",16.67,"Comercio Mayoreo",12.5,"Preparación de Alimentos y Bebidas",4.17
"Parque Centenario Peñoles",5,60,40,0,60,40,0,4.5,7.81,0,,,,,,,60,3,1.67,99.5,99.34,99.17,97.52,0,0,1,"Industria Manufacturera",100,,,,,,,,
"Parque Industrial La Amistad",46,56.52,43.48,26.09,73.91,0,0,1.83,0,69.44,64,36,100,64,36,0,82.61,12,3.83,100,100,100,100,75,25,6,"Comercio Menudeo",33.33,"Preparación de Alimentos y Bebidas",16.67,"Industria Manufacturera",16.67,"Esparcimiento, Culturales, Deportivos",16.67,"Comercio Mayoreo",16.67
"Parque Industrial Las Américas",0,,,,,,,,,,,,,,,,,0,,,,,,,,13,"Industria Manufacturera",46.15,"Información Medios Masivos",7.69,"Salud",7.69,"Servicios Generales",7.69,"Educativos",7.69
"Parque Industrial Oriente",0,,,,,,,,,,,,,,,,,0,,,,,,,,83,"Industria Manufacturera",25.3,"Comercio Mayoreo",25.3,"Comercio Menudeo",16.87,"Gubernamentales",6.02,"Transportes, Correo, Almacenamiento",6.02
"Pedregal del Valle",1971,48.3,51.7,35.36,60.98,3.04,0.62,1.84,1.92,58.22,65.19,34.81,90.21,64.26,35.74,9.79,68.19,505,3.9,99.8,99.21,99.01,99.21,59.41,38.81,33,"Comercio Menudeo",48.48,"Preparación de Alimentos y Bebidas",21.21,"Otros servicios, excepto Gobierno",18.18,"Salud",3.03,"Educativos",3.03
"Pequeña Zona Industrial",3,47.97,52.03,28.06,67.22,3.56,1.16,1.8,9.19,56.53,58.26,41.74,94.98,57.81,42.19,5.02,80.03,0,,,,,,,,31,"Industria Manufacturera",32.26,"Comercio Mayoreo",22.58,"Comercio Menudeo",19.35,"Preparación de Alimentos y Bebidas",12.9,"Otros servicios, excepto Gobierno",6.45
"Perla del Mar del Norte",16,50,50,25,37.5,0,37.5,1.33,0,66.67,75,25,100,75,25,0,37.5,3,5.33,100,100,100,100,100,46.86,0,,,,,,,,,,
"Perla del Oriente",559,49.19,50.81,35.96,62.61,0.89,0.54,1.71,1.82,63.82,63.97,36.03,92.65,62.17,37.83,7.35,72.81,158,3.54,100,99.37,100,96.84,48.21,29.78,26,"Comercio Menudeo",42.31,"Preparación de Alimentos y Bebidas",23.08,"Otros servicios, excepto Gobierno",19.23,"Manejo de Residuos",7.69,"Industria Manufacturera",7.69
"Plan de Ayala",982,50.41,49.59,29.94,61.61,7.13,1.32,2.83,9.53,50.14,73.24,26.76,97.22,73.61,26.39,2.78,52.34,235,4.18,97.87,95.74,91.91,93.62,22.34,10.57,23,"Comercio Menudeo",39.13,"Preparación de Alimentos y Bebidas",34.78,"Otros servicios, excepto Gobierno",8.7,"Industria Manufacturera",8.7,"Gubernamentales",4.35
"Plan de San Luis",859,49.59,50.41,24.1,72.41,3.14,0.35,1.84,3.93,56.88,62.47,37.53,94.15,61.07,38.93,5.85,70.66,231,3.72,100,100,100,98.7,60.61,48.24,20,"Comercio Menudeo",40,"Otros servicios, excepto Gobierno",20,"Educativos",10,"Preparación de Alimentos y Bebidas",10,"Industria Manufacturera",10
"Polvorera",1210,48.92,51.08,27.23,65.01,7.76,0,2.23,3.78,51.55,71.2,28.8,97.44,70.88,29.12,2.56,71.42,324,3.73,100,98.98,99.91,100,34.04,18.93,17,"Comercio Menudeo",76.47,"Educativos",5.88,"Otros servicios, excepto Gobierno",5.88,"Preparación de Alimentos y Bebidas",5.88,"Industria Manufacturera",5.88
