"Colonia","Población total","Porcentaje de población masculina","Porcentaje de población femenina","Porcentaje de población de 0 a 14 años","Porcentaje de población de 15 a 64 años","Porcentaje de población de 65 y más años","Porcentaje de población no especificada","Fecundidad promedio","Porcentaje de población con discapacidad","Población Económicamente Activa","Población Económicamente Activa masculina","Población Económicamente Activa femenina","Población Ocupada","Población Ocupada masculina","Población Ocupada femenina","Población Desocupada","Derechohabiencia","Hogares","Ocupación por Vivienda","Viviendas con Electricidad","Viviendas con Agua","Viviendas con Drenaje","Viviendas con Televisión","Viviendas con Automóvil","Viviendas con Computadora","Total Actividades Económicas","Primer actividad nombre","Primer actividad porcentaje","Segunda actividad nombre","Segunda actividad porcentaje","Tercera actividad nombre","Tercera actividad porcentaje","Cuarta actividad nombre","Cuarta actividad porcentaje","Quinta actividad nombre","Quinta actividad porcentaje"
"Villa Florida",2636,49.28,50.72,22.53,71.93,3.83,1.71,1.84,4.44,55.99,58.8,41.2,94.32,58.06,41.94,5.68,70.64,722,3.65,99.72,98.89,98.61,99.17,71.88,60.25,53,"Comercio Menudeo",41.51,"Preparación de Alimentos y Bebidas",24.53,"Otros servicios, excepto Gobierno",20.75,"Educativos",3.77,"Industria Manufacturera",3.77
"Villa Jacarandas",2603,46.12,53.88,20.11,62.68,14.98,2.23,2.55,9.72,48.77,57.12,42.88,90.23,55.93,44.07,9.77,75.77,718,3.63,100,99.15,99.43,99.57,49.56,36.67,71,"Comercio Menudeo",38.03,"Otros servicios, excepto Gobierno",22.54,"Preparación de Alimentos y Bebidas",16.9,"Salud",8.45,"Educativos",4.23
"Villa Jardín",548,46.41,53.59,11.6,63.71,13.63,11.06,1.93,4.61,52.2,63.52,36.48,93.39,63.47,36.53,6.61,72.9,154,3.56,99.72,100,99.72,89.25,84.62,72.81,52,"Otros servicios, excepto Gobierno",15.38,"Inmobiliarios",13.46,"Comercio Menudeo",11.54,"Salud",7.69,"Educativos",7.69
"Villa Los Pinos",0,,,,,,,,,,,,,,,,,0,,,,,,,,2,"Inmobiliarios",50,"Educativos",50,,,,,,
"Villa Romana",139,53.24,46.76,24.92,59.86,2.21,13.01,1.47,1.12,57.64,58.57,41.43,96.04,56.94,43.06,3.96,75.01,39,3.56,93.61,93.59,93.53,93.6,85.42,80.03,3,"Comercio Menudeo",33.33,"Otros servicios, excepto Gobierno",33.33,"Preparación de Alimentos y Bebidas",33.33,,,,
"Villas Centenario",279,47.82,52.18,32.2,65.25,2.53,0.02,1.66,1.78,62.92,66.89,33.11,96.56,66.13,33.87,3.44,85.05,87,3.21,100,100,100,99.94,53.01,44.32,13,"Comercio Menudeo",61.54,"Otros servicios, excepto Gobierno",15.38,"Preparación de Alimentos y Bebidas",15.38,"Profesionales, Científicos, Técnicos",7.69,,
"Villas de La Hacienda",1888,49.36,50.64,25.26,70.23,3.65,0.86,1.65,1.24,50.65,59.64,40.36,97.5,59.03,40.97,2.5,77.6,498,3.79,100,99.4,99.6,100,92.97,82.13,31,"Comercio Menudeo",35.48,"Industria Manufacturera",19.35,"Otros servicios, excepto Gobierno",16.13,"Preparación de Alimentos y Bebidas",12.9,"Salud",9.68
"Villas de La Huerta",972,48.46,51.54,38.79,60.19,1.03,-0.01,1.71,1.3,56.99,67.65,32.35,93.42,66.95,33.05,6.58,75.82,271,3.59,100,99.63,100,98.89,54.76,25.64,18,"Comercio Menudeo",44.44,"Otros servicios, excepto Gobierno",33.33,"Preparación de Alimentos y Bebidas",16.67,"Industria Manufacturera",5.56,,
"Villas de La Ibero",730,50.82,49.18,34.93,60.41,3.84,0.82,1.47,1.2,62.15,61.56,38.44,98.01,61.46,38.54,1.99,81.64,202,3.61,99.01,99.01,99.01,96.53,93.56,88.61,6,"Comercio Menudeo",66.67,"Gubernamentales",16.67,"Educativos",16.67,,,,
"Villas de La Joya",1146,46.51,53.49,38.31,60.38,1.31,0,1.9,2.19,61.38,63.35,36.65,89.31,61.97,38.03,10.69,78.97,311,3.68,99.36,100,100,98.39,54.34,30.05,14,"Comercio Menudeo",57.14,"Otros servicios, excepto Gobierno",14.29,"Inmobiliarios",7.14,"Manejo de Residuos",7.14,"Preparación de Alimentos y Bebidas",7.14
"Villa de Las Perlas",313,51.76,48.24,27.48,69.01,2.56,0.95,1.55,2.66,67.83,56.41,43.59,98.7,56.49,43.51,1.3,84.35,89,3.52,100,98.88,100,100,97.75,79.78,1,"Comercio Menudeo",100,,,,,,,,
"Villas de San Ángel",195,54.87,45.13,36.92,61.03,2.05,0,1.95,1.86,60.31,72.15,27.85,82.56,71.64,28.36,17.44,65.64,51,3.82,100,98.04,98.04,100,33.33,9.8,0,,,,,,,,,,
"Villas del Bosque",3077,48.52,51.48,36.17,62.59,0.91,0.33,1.82,2.21,59.33,64.82,35.18,93.19,64.27,35.73,6.81,74.39,840,3.66,100,99.64,99.88,97.98,41.71,22.6,70,"Comercio Menudeo",55.71,"Otros servicios, excepto Gobierno",17.14,"Preparación de Alimentos y Bebidas",17.14,"Industria Manufacturera",4.29,"Manejo de Residuos",2.86
"Villas del Sol",1315,49.28,50.72,30.57,66.01,2.05,1.37,1.44,0.8,64.16,59.23,40.77,95.45,59.12,40.88,4.55,88.29,384,3.42,100,99.74,100,99.74,93.7,75.63,8,"Comercio Menudeo",62.5,"Transportes, Correo, Almacenamiento",25,"Inmobiliarios",12.5,,,,
"Villas del Valle",383,49.61,50.39,26.11,68.67,5.22,0,1.34,6.53,56.41,56.82,43.18,96.47,56.47,43.53,3.53,87.47,116,3.3,100,100,100,100,81.9,63.9,6,"Comercio Menudeo",50,"Preparación de Alimentos y Bebidas",16.67,"Industria Manufacturera",16.67,"Comercio Mayoreo",16.67,,
"Villas La Merced",15139,48.69,51.31,30.34,64.57,3.61,1.48,1.93,2.99,54.42,61.33,38.67,91.82,60.9,39.1,8.18,75.19,3837,3.95,99.9,99.53,99.35,99.01,65.39,48.99,431,"Comercio Menudeo",39.44,"Otros servicios, excepto Gobierno",16.24,"Preparación de Alimentos y Bebidas",14.62,"Industria Manufacturera",6.03,"Manejo de Residuos",3.25
